dataset_id,tag_id,source
Adler_2018_Expt1,accuracy,auto
Adler_2018_Expt1,confidence_accuracy,auto
Adler_2018_Expt1,criterion,auto
Adler_2018_Expt1,dprime,auto
Adler_2018_Expt1,m_ratio,auto
Adler_2018_Expt1,mean_confidence,auto
Adler_2018_Expt1,mean_rt,auto
Adler_2018_Expt1,meta_d_mle,auto
Adler_2018_Expt1,rt_distribution,auto
Adler_2018_Expt1,type2_auc,auto
Adler_2018_Expt1,type2_roc,auto
Adler_2018_Expt2,accuracy,auto
Adler_2018_Expt2,confidence_accuracy,auto
Adler_2018_Expt2,confidence_rt,auto
Adler_2018_Expt2,criterion,auto
Adler_2018_Expt2,dprime,auto
Adler_2018_Expt2,m_ratio,auto
Adler_2018_Expt2,mean_confidence,auto
Adler_2018_Expt2,mean_rt,auto
Adler_2018_Expt2,meta_d_mle,auto
Adler_2018_Expt2,rt_distribution,auto
Adler_2018_Expt2,type2_auc,auto
Adler_2018_Expt2,type2_roc,auto
Adler_2018_Expt3,accuracy,auto
Adler_2018_Expt3,confidence_accuracy,auto
Adler_2018_Expt3,criterion,auto
Adler_2018_Expt3,dprime,auto
Adler_2018_Expt3,m_ratio,auto
Adler_2018_Expt3,mean_confidence,auto
Adler_2018_Expt3,mean_rt,auto
Adler_2018_Expt3,meta_d_mle,auto
Adler_2018_Expt3,rt_distribution,auto
Adler_2018_Expt3,type2_auc,auto
Adler_2018_Expt3,type2_roc,auto
AguilarLleyda_2018,accuracy,auto
AguilarLleyda_2018,confidence_accuracy,auto
AguilarLleyda_2018,confidence_rt,auto
AguilarLleyda_2018,criterion,auto
AguilarLleyda_2018,dprime,auto
AguilarLleyda_2018,m_ratio,auto
AguilarLleyda_2018,mean_confidence,auto
AguilarLleyda_2018,mean_rt,auto
AguilarLleyda_2018,meta_d_mle,auto
AguilarLleyda_2018,rt_distribution,auto
AguilarLleyda_2018,type2_auc,auto
AguilarLleyda_2018,type2_roc,auto
AguilarLleyda_unpub,accuracy,auto
AguilarLleyda_unpub,confidence_accuracy,auto
AguilarLleyda_unpub,confidence_rt,auto
AguilarLleyda_unpub,criterion,auto
AguilarLleyda_unpub,dprime,auto
AguilarLleyda_unpub,m_ratio,auto
AguilarLleyda_unpub,mean_confidence,auto
AguilarLleyda_unpub,mean_rt,auto
AguilarLleyda_unpub,meta_d_mle,auto
AguilarLleyda_unpub,rt_distribution,auto
AguilarLleyda_unpub,type2_auc,auto
AguilarLleyda_unpub,type2_roc,auto
Akdogan_2017_Exp1,accuracy,auto
Akdogan_2017_Exp1,confidence_accuracy,auto
Akdogan_2017_Exp1,confidence_rt,auto
Akdogan_2017_Exp1,criterion,auto
Akdogan_2017_Exp1,dprime,auto
Akdogan_2017_Exp1,m_ratio,auto
Akdogan_2017_Exp1,mean_confidence,auto
Akdogan_2017_Exp1,mean_rt,auto
Akdogan_2017_Exp1,meta_d_mle,auto
Akdogan_2017_Exp1,rt_distribution,auto
Akdogan_2017_Exp1,type2_auc,auto
Akdogan_2017_Exp1,type2_roc,auto
Akdogan_2017_Exp2,accuracy,auto
Akdogan_2017_Exp2,confidence_accuracy,auto
Akdogan_2017_Exp2,confidence_rt,auto
Akdogan_2017_Exp2,criterion,auto
Akdogan_2017_Exp2,dprime,auto
Akdogan_2017_Exp2,m_ratio,auto
Akdogan_2017_Exp2,mean_confidence,auto
Akdogan_2017_Exp2,mean_rt,auto
Akdogan_2017_Exp2,meta_d_mle,auto
Akdogan_2017_Exp2,rt_distribution,auto
Akdogan_2017_Exp2,type2_auc,auto
Akdogan_2017_Exp2,type2_roc,auto
Akdogan_2017_Exp3,accuracy,auto
Akdogan_2017_Exp3,confidence_accuracy,auto
Akdogan_2017_Exp3,confidence_rt,auto
Akdogan_2017_Exp3,criterion,auto
Akdogan_2017_Exp3,dprime,auto
Akdogan_2017_Exp3,m_ratio,auto
Akdogan_2017_Exp3,mean_confidence,auto
Akdogan_2017_Exp3,mean_rt,auto
Akdogan_2017_Exp3,meta_d_mle,auto
Akdogan_2017_Exp3,rt_distribution,auto
Akdogan_2017_Exp3,type2_auc,auto
Akdogan_2017_Exp3,type2_roc,auto
Akdogan_2017_Exp4,accuracy,auto
Akdogan_2017_Exp4,confidence_accuracy,auto
Akdogan_2017_Exp4,confidence_rt,auto
Akdogan_2017_Exp4,criterion,auto
Akdogan_2017_Exp4,dprime,auto
Akdogan_2017_Exp4,m_ratio,auto
Akdogan_2017_Exp4,mean_confidence,auto
Akdogan_2017_Exp4,mean_rt,auto
Akdogan_2017_Exp4,meta_d_mle,auto
Akdogan_2017_Exp4,rt_distribution,auto
Akdogan_2017_Exp4,type2_auc,auto
Akdogan_2017_Exp4,type2_roc,auto
Arbuzova_2021_expt2,accuracy,auto
Arbuzova_2021_expt2,confidence_accuracy,auto
Arbuzova_2021_expt2,confidence_rt,auto
Arbuzova_2021_expt2,criterion,auto
Arbuzova_2021_expt2,dprime,auto
Arbuzova_2021_expt2,m_ratio,auto
Arbuzova_2021_expt2,mean_confidence,auto
Arbuzova_2021_expt2,mean_rt,auto
Arbuzova_2021_expt2,meta_d_mle,auto
Arbuzova_2021_expt2,rt_distribution,auto
Arbuzova_2021_expt2,type2_auc,auto
Arbuzova_2021_expt2,type2_roc,auto
Arbuzova_2021_expt1,accuracy,auto
Arbuzova_2021_expt1,confidence_accuracy,auto
Arbuzova_2021_expt1,confidence_rt,auto
Arbuzova_2021_expt1,criterion,auto
Arbuzova_2021_expt1,dprime,auto
Arbuzova_2021_expt1,m_ratio,auto
Arbuzova_2021_expt1,mean_confidence,auto
Arbuzova_2021_expt1,mean_rt,auto
Arbuzova_2021_expt1,meta_d_mle,auto
Arbuzova_2021_expt1,rt_distribution,auto
Arbuzova_2021_expt1,type2_auc,auto
Arbuzova_2021_expt1,type2_roc,auto
Arbuzova_unpub_3,accuracy,auto
Arbuzova_unpub_3,confidence_accuracy,auto
Arbuzova_unpub_3,confidence_rt,auto
Arbuzova_unpub_3,criterion,auto
Arbuzova_unpub_3,dprime,auto
Arbuzova_unpub_3,m_ratio,auto
Arbuzova_unpub_3,mean_confidence,auto
Arbuzova_unpub_3,mean_rt,auto
Arbuzova_unpub_3,meta_d_mle,auto
Arbuzova_unpub_3,rt_distribution,auto
Arbuzova_unpub_3,type2_auc,auto
Arbuzova_unpub_3,type2_roc,auto
Bang_2019_Exp1,accuracy,auto
Bang_2019_Exp1,confidence_accuracy,auto
Bang_2019_Exp1,confidence_rt,auto
Bang_2019_Exp1,criterion,auto
Bang_2019_Exp1,dprime,auto
Bang_2019_Exp1,m_ratio,auto
Bang_2019_Exp1,mean_confidence,auto
Bang_2019_Exp1,mean_rt,auto
Bang_2019_Exp1,meta_d_mle,auto
Bang_2019_Exp1,rt_distribution,auto
Bang_2019_Exp1,type2_auc,auto
Bang_2019_Exp1,type2_roc,auto
Bang_2019_Exp2,accuracy,auto
Bang_2019_Exp2,confidence_accuracy,auto
Bang_2019_Exp2,confidence_rt,auto
Bang_2019_Exp2,criterion,auto
Bang_2019_Exp2,dprime,auto
Bang_2019_Exp2,m_ratio,auto
Bang_2019_Exp2,mean_confidence,auto
Bang_2019_Exp2,mean_rt,auto
Bang_2019_Exp2,meta_d_mle,auto
Bang_2019_Exp2,rt_distribution,auto
Bang_2019_Exp2,type2_auc,auto
Bang_2019_Exp2,type2_roc,auto
data_Bocheva_unpub_Expt1,accuracy,auto
data_Bocheva_unpub_Expt1,confidence_accuracy,auto
data_Bocheva_unpub_Expt1,confidence_rt,auto
data_Bocheva_unpub_Expt1,criterion,auto
data_Bocheva_unpub_Expt1,dprime,auto
data_Bocheva_unpub_Expt1,m_ratio,auto
data_Bocheva_unpub_Expt1,mean_confidence,auto
data_Bocheva_unpub_Expt1,mean_rt,auto
data_Bocheva_unpub_Expt1,meta_d_mle,auto
data_Bocheva_unpub_Expt1,rt_distribution,auto
data_Bocheva_unpub_Expt1,type2_auc,auto
data_Bocheva_unpub_Expt1,type2_roc,auto
data_Bocheva_unpub_Expt2,accuracy,auto
data_Bocheva_unpub_Expt2,confidence_accuracy,auto
data_Bocheva_unpub_Expt2,confidence_rt,auto
data_Bocheva_unpub_Expt2,criterion,auto
data_Bocheva_unpub_Expt2,dprime,auto
data_Bocheva_unpub_Expt2,m_ratio,auto
data_Bocheva_unpub_Expt2,mean_confidence,auto
data_Bocheva_unpub_Expt2,mean_rt,auto
data_Bocheva_unpub_Expt2,meta_d_mle,auto
data_Bocheva_unpub_Expt2,rt_distribution,auto
data_Bocheva_unpub_Expt2,type2_auc,auto
data_Bocheva_unpub_Expt2,type2_roc,auto
CalderTravis_unpub,accuracy,auto
CalderTravis_unpub,confidence_accuracy,auto
CalderTravis_unpub,criterion,auto
CalderTravis_unpub,dprime,auto
CalderTravis_unpub,m_ratio,auto
CalderTravis_unpub,mean_confidence,auto
CalderTravis_unpub,mean_rt,auto
CalderTravis_unpub,meta_d_mle,auto
CalderTravis_unpub,rt_distribution,auto
CalderTravis_unpub,type2_auc,auto
CalderTravis_unpub,type2_roc,auto
Chandravadia_2020,accuracy,auto
Chandravadia_2020,confidence_accuracy,auto
Chandravadia_2020,criterion,auto
Chandravadia_2020,dprime,auto
Chandravadia_2020,m_ratio,auto
Chandravadia_2020,mean_confidence,auto
Chandravadia_2020,mean_rt,auto
Chandravadia_2020,meta_d_mle,auto
Chandravadia_2020,rt_distribution,auto
Chandravadia_2020,type2_auc,auto
Chandravadia_2020,type2_roc,auto
Charalampaki_unpub_1,accuracy,auto
Charalampaki_unpub_1,confidence_accuracy,auto
Charalampaki_unpub_1,confidence_rt,auto
Charalampaki_unpub_1,criterion,auto
Charalampaki_unpub_1,dprime,auto
Charalampaki_unpub_1,m_ratio,auto
Charalampaki_unpub_1,mean_confidence,auto
Charalampaki_unpub_1,mean_rt,auto
Charalampaki_unpub_1,meta_d_mle,auto
Charalampaki_unpub_1,rt_distribution,auto
Charalampaki_unpub_1,type2_auc,auto
Charalampaki_unpub_1,type2_roc,auto
Chetverikov_2014_exp3,accuracy,auto
Chetverikov_2014_exp3,confidence_accuracy,auto
Chetverikov_2014_exp3,confidence_rt,auto
Chetverikov_2014_exp3,mean_confidence,auto
Chetverikov_2014_exp3,mean_rt,auto
Chetverikov_2014_exp3,rt_distribution,auto
Chetverikov_2014_exp3,type2_auc,auto
Chetverikov_2014_exp3,type2_roc,auto
Chetverikov_2014_exp4,accuracy,auto
Chetverikov_2014_exp4,confidence_accuracy,auto
Chetverikov_2014_exp4,confidence_rt,auto
Chetverikov_2014_exp4,mean_confidence,auto
Chetverikov_2014_exp4,mean_rt,auto
Chetverikov_2014_exp4,rt_distribution,auto
Chetverikov_2014_exp4,type2_auc,auto
Chetverikov_2014_exp4,type2_roc,auto
Clark_2018,accuracy,auto
Clark_2018,confidence_accuracy,auto
Clark_2018,criterion,auto
Clark_2018,dprime,auto
Clark_2018,m_ratio,auto
Clark_2018,mean_confidence,auto
Clark_2018,meta_d_mle,auto
Clark_2018,type2_auc,auto
Clark_2018,type2_roc,auto
Clark_unpub,accuracy,auto
Clark_unpub,confidence_accuracy,auto
Clark_unpub,criterion,auto
Clark_unpub,dprime,auto
Clark_unpub,m_ratio,auto
Clark_unpub,mean_confidence,auto
Clark_unpub,meta_d_mle,auto
Clark_unpub,type2_auc,auto
Clark_unpub,type2_roc,auto
Constant_2022,accuracy,auto
Constant_2022,confidence_accuracy,auto
Constant_2022,confidence_rt,auto
Constant_2022,criterion,auto
Constant_2022,dprime,auto
Constant_2022,m_ratio,auto
Constant_2022,mean_confidence,auto
Constant_2022,mean_rt,auto
Constant_2022,meta_d_mle,auto
Constant_2022,rt_distribution,auto
Constant_2022,type2_auc,auto
Constant_2022,type2_roc,auto
Denison_2018,accuracy,auto
Denison_2018,confidence_accuracy,auto
Denison_2018,criterion,auto
Denison_2018,dprime,auto
Denison_2018,m_ratio,auto
Denison_2018,mean_confidence,auto
Denison_2018,mean_rt,auto
Denison_2018,meta_d_mle,auto
Denison_2018,rt_distribution,auto
Denison_2018,type2_auc,auto
Denison_2018,type2_roc,auto
Desender_2014,accuracy,auto
Desender_2014,confidence_accuracy,auto
Desender_2014,confidence_rt,auto
Desender_2014,criterion,auto
Desender_2014,dprime,auto
Desender_2014,m_ratio,auto
Desender_2014,mean_confidence,auto
Desender_2014,mean_rt,auto
Desender_2014,meta_d_mle,auto
Desender_2014,rt_distribution,auto
Desender_2014,type2_auc,auto
Desender_2014,type2_roc,auto
Desender_2016,accuracy,auto
Desender_2016,confidence_accuracy,auto
Desender_2016,confidence_rt,auto
Desender_2016,criterion,auto
Desender_2016,dprime,auto
Desender_2016,m_ratio,auto
Desender_2016,mean_confidence,auto
Desender_2016,mean_rt,auto
Desender_2016,meta_d_mle,auto
Desender_2016,rt_distribution,auto
Desender_2016,type2_auc,auto
Desender_2016,type2_roc,auto
Desender_2018_Exp1,accuracy,auto
Desender_2018_Exp1,confidence_accuracy,auto
Desender_2018_Exp1,confidence_rt,auto
Desender_2018_Exp1,criterion,auto
Desender_2018_Exp1,dprime,auto
Desender_2018_Exp1,m_ratio,auto
Desender_2018_Exp1,mean_confidence,auto
Desender_2018_Exp1,mean_rt,auto
Desender_2018_Exp1,meta_d_mle,auto
Desender_2018_Exp1,rt_distribution,auto
Desender_2018_Exp1,type2_auc,auto
Desender_2018_Exp1,type2_roc,auto
Desender_2018_Exp2,accuracy,auto
Desender_2018_Exp2,confidence_accuracy,auto
Desender_2018_Exp2,confidence_rt,auto
Desender_2018_Exp2,criterion,auto
Desender_2018_Exp2,dprime,auto
Desender_2018_Exp2,m_ratio,auto
Desender_2018_Exp2,mean_confidence,auto
Desender_2018_Exp2,mean_rt,auto
Desender_2018_Exp2,meta_d_mle,auto
Desender_2018_Exp2,rt_distribution,auto
Desender_2018_Exp2,type2_auc,auto
Desender_2018_Exp2,type2_roc,auto
Desender_2021_Cognit,accuracy,auto
Desender_2021_Cognit,confidence_accuracy,auto
Desender_2021_Cognit,confidence_rt,auto
Desender_2021_Cognit,criterion,auto
Desender_2021_Cognit,dprime,auto
Desender_2021_Cognit,m_ratio,auto
Desender_2021_Cognit,mean_confidence,auto
Desender_2021_Cognit,mean_rt,auto
Desender_2021_Cognit,meta_d_mle,auto
Desender_2021_Cognit,rt_distribution,auto
Desender_2021_Cognit,type2_auc,auto
Desender_2021_Cognit,type2_roc,auto
Desender_2021_PsyRes,accuracy,auto
Desender_2021_PsyRes,confidence_accuracy,auto
Desender_2021_PsyRes,confidence_rt,auto
Desender_2021_PsyRes,mean_confidence,auto
Desender_2021_PsyRes,mean_rt,auto
Desender_2021_PsyRes,rt_distribution,auto
Desender_2021_PsyRes,type2_auc,auto
Desender_2021_PsyRes,type2_roc,auto
Desender_2022_Exp1,accuracy,auto
Desender_2022_Exp1,confidence_accuracy,auto
Desender_2022_Exp1,confidence_rt,auto
Desender_2022_Exp1,criterion,auto
Desender_2022_Exp1,dprime,auto
Desender_2022_Exp1,m_ratio,auto
Desender_2022_Exp1,mean_confidence,auto
Desender_2022_Exp1,mean_rt,auto
Desender_2022_Exp1,meta_d_mle,auto
Desender_2022_Exp1,rt_distribution,auto
Desender_2022_Exp1,type2_auc,auto
Desender_2022_Exp1,type2_roc,auto
Desender_2022_Exp1S,accuracy,auto
Desender_2022_Exp1S,confidence_accuracy,auto
Desender_2022_Exp1S,confidence_rt,auto
Desender_2022_Exp1S,criterion,auto
Desender_2022_Exp1S,dprime,auto
Desender_2022_Exp1S,m_ratio,auto
Desender_2022_Exp1S,mean_confidence,auto
Desender_2022_Exp1S,mean_rt,auto
Desender_2022_Exp1S,meta_d_mle,auto
Desender_2022_Exp1S,rt_distribution,auto
Desender_2022_Exp1S,type2_auc,auto
Desender_2022_Exp1S,type2_roc,auto
Desender_2022_Exp2B,accuracy,auto
Desender_2022_Exp2B,confidence_accuracy,auto
Desender_2022_Exp2B,confidence_rt,auto
Desender_2022_Exp2B,criterion,auto
Desender_2022_Exp2B,dprime,auto
Desender_2022_Exp2B,m_ratio,auto
Desender_2022_Exp2B,mean_confidence,auto
Desender_2022_Exp2B,mean_rt,auto
Desender_2022_Exp2B,meta_d_mle,auto
Desender_2022_Exp2B,rt_distribution,auto
Desender_2022_Exp2B,type2_auc,auto
Desender_2022_Exp2B,type2_roc,auto
Dildine_unpub,confidence_error,auto
Dildine_unpub,confidence_rt,auto
Dildine_unpub,estimation_error,auto
Dildine_unpub,mean_confidence,auto
Dildine_unpub,mean_rt,auto
Dildine_unpub,rt_distribution,auto
Double_2017,accuracy,auto
Double_2017,confidence_accuracy,auto
Double_2017,confidence_rt,auto
Double_2017,mean_confidence,auto
Double_2017,mean_rt,auto
Double_2017,rt_distribution,auto
Double_2017,type2_auc,auto
Double_2017,type2_roc,auto
Duyan_2018_Exp1,accuracy,auto
Duyan_2018_Exp1,confidence_accuracy,auto
Duyan_2018_Exp1,confidence_rt,auto
Duyan_2018_Exp1,criterion,auto
Duyan_2018_Exp1,dprime,auto
Duyan_2018_Exp1,m_ratio,auto
Duyan_2018_Exp1,mean_confidence,auto
Duyan_2018_Exp1,mean_rt,auto
Duyan_2018_Exp1,meta_d_mle,auto
Duyan_2018_Exp1,rt_distribution,auto
Duyan_2018_Exp1,type2_auc,auto
Duyan_2018_Exp1,type2_roc,auto
Duyan_2018_Exp2,accuracy,auto
Duyan_2018_Exp2,confidence_accuracy,auto
Duyan_2018_Exp2,confidence_rt,auto
Duyan_2018_Exp2,criterion,auto
Duyan_2018_Exp2,dprime,auto
Duyan_2018_Exp2,m_ratio,auto
Duyan_2018_Exp2,mean_confidence,auto
Duyan_2018_Exp2,mean_rt,auto
Duyan_2018_Exp2,meta_d_mle,auto
Duyan_2018_Exp2,rt_distribution,auto
Duyan_2018_Exp2,type2_auc,auto
Duyan_2018_Exp2,type2_roc,auto
Duyan_2019,confidence_error,auto
Duyan_2019,confidence_rt,auto
Duyan_2019,estimation_error,auto
Duyan_2019,mean_confidence,auto
Duyan_2019,mean_rt,auto
Duyan_2019,rt_distribution,auto
Duyan_unpub_Exp1,confidence_error,auto
Duyan_unpub_Exp1,confidence_rt,auto
Duyan_unpub_Exp1,estimation_error,auto
Duyan_unpub_Exp1,mean_confidence,auto
Duyan_unpub_Exp1,mean_rt,auto
Duyan_unpub_Exp1,rt_distribution,auto
Duyan_unpub_Exp2,confidence_error,auto
Duyan_unpub_Exp2,confidence_rt,auto
Duyan_unpub_Exp2,estimation_error,auto
Duyan_unpub_Exp2,mean_confidence,auto
Duyan_unpub_Exp2,mean_rt,auto
Duyan_unpub_Exp2,rt_distribution,auto
Duyan_unpub_logos,accuracy,auto
Duyan_unpub_logos,confidence_accuracy,auto
Duyan_unpub_logos,confidence_rt,auto
Duyan_unpub_logos,criterion,auto
Duyan_unpub_logos,dprime,auto
Duyan_unpub_logos,m_ratio,auto
Duyan_unpub_logos,mean_confidence,auto
Duyan_unpub_logos,mean_rt,auto
Duyan_unpub_logos,meta_d_mle,auto
Duyan_unpub_logos,rt_distribution,auto
Duyan_unpub_logos,type2_auc,auto
Duyan_unpub_logos,type2_roc,auto
Faivre_2018_JN,accuracy,auto
Faivre_2018_JN,confidence_accuracy,auto
Faivre_2018_JN,confidence_rt,auto
Faivre_2018_JN,criterion,auto
Faivre_2018_JN,dprime,auto
Faivre_2018_JN,m_ratio,auto
Faivre_2018_JN,mean_confidence,auto
Faivre_2018_JN,mean_rt,auto
Faivre_2018_JN,meta_d_mle,auto
Faivre_2018_JN,rt_distribution,auto
Faivre_2018_JN,type2_auc,auto
Faivre_2018_JN,type2_roc,auto
Faivre_2018_bioRxiv,accuracy,auto
Faivre_2018_bioRxiv,confidence_accuracy,auto
Faivre_2018_bioRxiv,confidence_rt,auto
Faivre_2018_bioRxiv,criterion,auto
Faivre_2018_bioRxiv,dprime,auto
Faivre_2018_bioRxiv,m_ratio,auto
Faivre_2018_bioRxiv,mean_confidence,auto
Faivre_2018_bioRxiv,mean_rt,auto
